date,tag,title,link
2021/10/27,usecases, Netflix 探討 A/B Testing 的案例與概念, https://www.facebook.com/technologynoteniu/posts/398855865281885
2021/10/25,introduction, 降低 AWS 上的 Kubernetes 價格, https://www.facebook.com/technologynoteniu/posts/397497722084366
2021/10/23,others, 面試經驗分享文, https://www.facebook.com/technologynoteniu/posts/396166485550823
2021/10/21,others, 15 年開發者生涯中的五大反思, https://www.facebook.com/technologynoteniu/posts/394881232346015
2021/10/19,container, Container 的未來發展, https://www.facebook.com/technologynoteniu/posts/393500502484088
2021/10/17,introduction, Kubernetes Pod Eviction 介紹, https://www.facebook.com/technologynoteniu/posts/392249045942567
2021/10/15,others, 如何將 AWS 機密資訊整合到 Kubernetes, https://www.facebook.com/technologynoteniu/posts/390894606078011
2021/10/13,introduction, 探討 Kubernetes 內重要的六個概念, https://www.facebook.com/technologynoteniu/posts/389383852895753
2021/10/11,introduction, Kubernetes 即將支援 swap, https://www.facebook.com/technologynoteniu/posts/388057803028358
2021/10/07,container, Azure 上的資安漏洞，讓你可以存取他人 container, https://www.facebook.com/technologynoteniu/posts/385137573320381
2021/10/05,others, Monorepo 的好壞處以及為什麼值得使用, https://www.facebook.com/technologynoteniu/posts/383845706782901
2021/10/04,network, CloudFlare 探討 FB 出包原因, https://www.facebook.com/technologynoteniu/posts/383157193518419
2021/10/03,introduction, 探討 kubernetes 未來的新領域, https://www.facebook.com/technologynoteniu/posts/382702036897268
2021/09/28,others, System Design 領域內架構介紹, https://www.facebook.com/technologynoteniu/posts/379468987220573
2021/09/26,introduction, 2021/06 科技雷達調查, https://www.facebook.com/technologynoteniu/posts/378213507346121
2021/09/26,others, 從 StackOverflow 觀察 Full-Time 比例下降, https://www.facebook.com/technologynoteniu/posts/378213144012824
2021/09/24,others, 基於 NSA/CISA 安全檢定的開源專案 Kubescape, https://www.facebook.com/technologynoteniu/posts/376929560807849
2021/09/22,network, PING 指令介紹, https://www.facebook.com/technologynoteniu/posts/375620037605468
2021/09/20,others, Engineering Manager 的面試分享, https://www.facebook.com/technologynoteniu/posts/374272274406911
2021/09/18,introduction, Kubernetes v1.22 新功能, https://www.facebook.com/technologynoteniu/posts/372990197868452
2021/09/16,introduction, Kubernetes Chaos Mesh 介紹, https://www.facebook.com/technologynoteniu/posts/371693067998165
2021/09/14,introduction, Kubernetes Label 介紹, https://www.facebook.com/technologynoteniu/posts/370395514794587
2021/09/12,container, Docker 員工談為什麼 Docker 市場會失敗, https://www.facebook.com/technologynoteniu/posts/369088391591966
